pid,title,tranform,other Element to Look For,HighLevelCollectionName
tufts:12483,Taian Tearoom.,ArtBatchTransform: 2014-12-16T08:17:58.251-05:00,displaysIn:Trove,Trove
tufts:12480,Fusuma.,ArtBatchTransform: 2014-12-16T08:17:58.251-05:00,displaysIn:Trove,Trove
tufts:12481,Artist's Rendering of the Kojoin Guest House at Onjoji.,ArtBatchTransform: 2014-12-16T08:17:58.251-05:00,displaysIn:Trove,Trove
tufts:12495,Sky II.,ArtBatchTransform: 2014-12-16T08:17:58.251-05:00,displaysIn:Trove,Trove
tufts:12497,The Great Wave.,ArtBatchTransform: 2014-12-16T08:17:58.251-05:00,displaysIn:Trove,Trove
tufts:12479,"Himeji Castle\, Hyogo\, Near Osaka.",ArtBatchTransform: 2014-12-16T08:17:58.251-05:00,displaysIn:Trove,Trove
tufts:12482,"Rock Garden\, Ryoanji\, Kyoto.",ArtBatchTransform: 2014-12-16T08:17:58.251-05:00,displaysIn:Trove,Trove
tufts:12478,Winter Landscape.,ArtBatchTransform: 2014-12-16T08:17:58.251-05:00,displaysIn:Trove,Trove
tufts:12477,Landscape.,ArtBatchTransform: 2014-12-16T08:17:58.251-05:00,displaysIn:Trove,Trove
tufts:12492,Hiroshima Peace Memorial Museum and Park.,ArtBatchTransform: 2014-12-16T08:17:58.251-05:00,displaysIn:Trove,Trove
tufts:12493,Giant Daruma.,ArtBatchTransform: 2014-12-16T08:17:58.251-05:00,displaysIn:Trove,Trove
tufts:12490,Floating Lights.,ArtBatchTransform: 2014-12-16T08:17:58.251-05:00,displaysIn:Trove,Trove
tufts:12491,Ornamental Box: Dancing in the Cosmos.,ArtBatchTransform: 2014-12-16T08:17:58.251-05:00,displaysIn:Trove,Trove
tufts:12488,Bull and Puppy.,ArtBatchTransform: 2014-12-16T08:17:58.251-05:00,displaysIn:Trove,Trove
tufts:12489,View of Kojima Bay.,ArtBatchTransform: 2014-12-16T08:17:58.251-05:00,displaysIn:Trove,Trove
tufts:12487,Waves at Matsushima.,ArtBatchTransform: 2014-12-16T08:17:58.251-05:00,displaysIn:Trove,Trove
tufts:12494,Plate with Wisteria and Trellis Pattern.,ArtBatchTransform: 2014-12-16T08:17:58.251-05:00,displaysIn:Trove,Trove
tufts:12484,"Tea Bowl\, Called Yugure.",ArtBatchTransform: 2014-12-16T08:17:58.251-05:00,displaysIn:Trove,Trove
tufts:12500,Members of the British Punitive Expeditionin the Benin Palace in 1897 with Objects from the Royal Treasury.,ArtBatchTransform: 2014-12-16T08:25:13.892-05:00,displaysIn:Trove,Trove
tufts:12499,Twin Figures.,ArtBatchTransform: 2014-12-16T08:25:13.892-05:00,displaysIn:Trove,Trove
tufts:12501,Nankani Compound.,ArtBatchTransform: 2014-12-16T08:25:13.892-05:00,displaysIn:Trove,Trove
tufts:12514,Veranda Posts Installed in the Courtyard of the Palace of the Ogaga of Ikere.,ArtBatchTransform: 2014-12-16T08:25:13.892-05:00,displaysIn:Trove,Trove
tufts:12512,Ifa Divination Session.,ArtBatchTransform: 2014-12-16T08:25:13.892-05:00,displaysIn:Trove,Trove
tufts:12498,Finial of a Speaker's Staff.,ArtBatchTransform: 2014-12-16T08:25:13.892-05:00,displaysIn:Trove,Trove
tufts:12502,Temne Nowo Masquerade with Attendants.,ArtBatchTransform: 2014-12-16T08:25:13.892-05:00,displaysIn:Trove,Trove
tufts:12518,Ngady Mwaash Masked Dancer at the Funeral of an Initiated Man.,ArtBatchTransform: 2014-12-16T08:25:13.892-05:00,displaysIn:Trove,Trove
tufts:12513,Kente Cloth.,ArtBatchTransform: 2014-12-16T08:25:13.892-05:00,displaysIn:Trove,Trove
tufts:12511,Ngady Mwaash Mask.,ArtBatchTransform: 2014-12-16T08:25:13.892-05:00,displaysIn:Trove,Trove
tufts:12516,Bwoom Masked Dancer at the Funeral of an Initiated Man.,ArtBatchTransform: 2014-12-16T08:25:13.892-05:00,displaysIn:Trove,Trove
tufts:12515,Kanaga Masquerade Figures at Dama.,ArtBatchTransform: 2014-12-16T08:25:13.892-05:00,displaysIn:Trove,Trove
tufts:12517,Palace Door.,ArtBatchTransform: 2014-12-16T08:25:13.892-05:00,displaysIn:Trove,Trove
tufts:12510,Kot Ambweek in Ceremonial Dress.,ArtBatchTransform: 2014-12-16T08:25:13.892-05:00,displaysIn:Trove,Trove
tufts:12506,Five Masks in Performance.,ArtBatchTransform: 2014-12-16T08:25:13.892-05:00,displaysIn:Trove,Trove
tufts:12503,Bwami Mask.,ArtBatchTransform: 2014-12-16T08:25:13.892-05:00,displaysIn:Trove,Trove
tufts:12508,Decorated Building in the Royal Compound of the Kuba Nyim.,ArtBatchTransform: 2014-12-16T08:25:13.892-05:00,displaysIn:Trove,Trove
tufts:12507,Divination Basket.,ArtBatchTransform: 2014-12-16T08:25:13.892-05:00,displaysIn:Trove,Trove
tufts:12509,Elder Guiding Small Boy in Egungun Performance While Adult Egungun Performer Looks on.,ArtBatchTransform: 2014-12-16T08:25:13.892-05:00,displaysIn:Trove,Trove
