pid,title,tranform,other Element to Look For,HighLevelCollectionName
tufts:13378,"Elevation of the Building of the House the Academies\, Paris.",ArtBatchTransform: 2015-03-10T14:34:05.908-04:00,displaysIn:Trove,Trove
tufts:13384,"The Court of Honor\, World's Columbian Exposition\, Chicago.",ArtBatchTransform: 2015-03-10T14:34:05.908-04:00,displaysIn:Trove,Trove
tufts:13382,"Map of the World's Columbian Exposition\, Chicago.",ArtBatchTransform: 2015-03-10T14:34:05.908-04:00,displaysIn:Trove,Trove
tufts:13386,Plan for the Ground Floor of the Boston Public Library.,ArtBatchTransform: 2015-03-10T14:34:05.908-04:00,displaysIn:Trove,Trove
tufts:13385,Plan of Les Halles.,ArtBatchTransform: 2015-03-10T14:34:05.908-04:00,displaysIn:Trove,Trove
tufts:13367,"Old Saint Peter's Stock Exchange\, Saint Petersburg\, Russia.",ArtBatchTransform: 2015-03-10T14:34:05.908-04:00,displaysIn:Trove,Trove
tufts:13373,"Church of the Madeleine\, Paris.",ArtBatchTransform: 2015-03-10T14:34:05.908-04:00,displaysIn:Trove,Trove
tufts:13401,"Wainwright Building\, St. Louis.",ArtBatchTransform: 2015-03-13T10:44:45.833-04:00,displaysIn:Trove,Trove
tufts:13402,"Construction of the Wainwright Building\, St. Louis.",ArtBatchTransform: 2015-03-13T10:44:45.833-04:00,displaysIn:Trove,Trove
tufts:13403,"Plans of the Wainwright Building\, St. Louis.",ArtBatchTransform: 2015-03-13T10:44:45.833-04:00,displaysIn:Trove,Trove
tufts:13404,"Detail of Frieze\, Wainwright Building\, St. Louis.",ArtBatchTransform: 2015-03-13T10:44:45.833-04:00,displaysIn:Trove,Trove
tufts:13407,"The Five Orders\, from the General Rules of Architecture.",ArtBatchTransform: 2015-03-13T10:44:45.833-04:00,displaysIn:Trove,Trove
tufts:13398,"Illustration of the Interior of the Crystal Palace\, London.",ArtBatchTransform: 2015-03-13T10:44:45.833-04:00,displaysIn:Trove,Trove
tufts:13399,"Illustration of the Brooklyn Bridge\, New York.",ArtBatchTransform: 2015-03-13T10:44:45.833-04:00,displaysIn:Trove,Trove
tufts:13408,Construction of Taliesin West.,ArtBatchTransform: 2015-03-13T10:44:45.833-04:00,displaysIn:Trove,Trove
tufts:13406,"Plate of the Tuscan Order\, from Rules of Five Orders of Architecture.",ArtBatchTransform: 2015-03-13T10:44:45.833-04:00,displaysIn:Trove,Trove
tufts:13405,"Plate I\, from Rules of Five Orders of Architecture.",ArtBatchTransform: 2015-03-13T10:44:45.833-04:00,displaysIn:Trove,Trove
tufts:13410,"Fallingwater\, Bear Run.",ArtBatchTransform: 2015-03-13T10:44:45.833-04:00,displaysIn:Trove,Trove
tufts:13411,"Exterior View\, Boston Public Library.",ArtBatchTransform: 2015-03-13T10:44:45.833-04:00,displaysIn:Trove,Trove
tufts:13400,"Bird's Eye View of Chicago\, Circa 1880.",ArtBatchTransform: 2015-03-13T10:44:45.833-04:00,displaysIn:Trove,Trove
tufts:13409,Plan and Elevation of the Villa Emo.,ArtBatchTransform: 2015-03-13T10:44:45.833-04:00,displaysIn:Trove,Trove
tufts:13392,"Detail of the Nativity East Façade of the Basilica and Expiatory Church of the Sagrada Familia\, Barcelona.",ArtBatchTransform: 2015-03-13T10:44:45.833-04:00,displaysIn:Trove,Trove
tufts:13390,"East Façade of the Basilica and Expiatory Church of the Sagrada Familia\, Barcelona.",ArtBatchTransform: 2015-03-13T10:44:45.833-04:00,displaysIn:Trove,Trove
tufts:13389,Façade of the Notre Dame de Paris.,ArtBatchTransform: 2015-03-13T10:44:45.833-04:00,displaysIn:Trove,Trove
tufts:13387,"Modern Town in 1840\, from Contrasts.",ArtBatchTransform: 2015-03-13T10:44:45.833-04:00,displaysIn:Trove,Trove
tufts:13388,"Illustration of Gothic Articulation\, Dictionnaire raisonné de l'architecture française du Xie au XVIe siècle.",ArtBatchTransform: 2015-03-13T10:44:45.833-04:00,displaysIn:Trove,Trove
tufts:13391,"Catholic Town in 1440\, from Contrasts.",ArtBatchTransform: 2015-03-13T10:44:45.833-04:00,displaysIn:Trove,Trove
tufts:13397,"Illustration of the Construction of the Crystal Palace\, London.",ArtBatchTransform: 2015-03-13T10:44:45.833-04:00,displaysIn:Trove,Trove
tufts:13393,"Interior View of the Library of Sainte-Geneviève\, Paris.",ArtBatchTransform: 2015-03-13T10:44:45.833-04:00,displaysIn:Trove,Trove
tufts:13394,"Façade of the Library of Sainte-Geneviève\, Paris.",ArtBatchTransform: 2015-03-13T10:44:45.833-04:00,displaysIn:Trove,Trove
tufts:13395,"Detail of the Façade of the Library of Sainte-Geneviève\, Paris.",ArtBatchTransform: 2015-03-13T10:44:45.833-04:00,displaysIn:Trove,Trove
tufts:13396,"Illustration of the Façade of the Crystal Palace\, London.",ArtBatchTransform: 2015-03-13T10:44:45.833-04:00,displaysIn:Trove,Trove
tufts:13414,Red Violin.,ArtBatchTransform: 2015-03-24T13:37:59.095-04:00,displaysIn:Trove,Trove
tufts:13416,Upper Deck.,ArtBatchTransform: 2015-03-24T13:37:59.095-04:00,displaysIn:Trove,Trove
tufts:13413,"Nude Descending a Staircase\, No. 2.",ArtBatchTransform: 2015-03-24T13:37:59.095-04:00,displaysIn:Trove,Trove
tufts:13415,Warriors.,ArtBatchTransform: 2015-03-24T13:37:59.095-04:00,displaysIn:Trove,Trove
tufts:13412,New York.,ArtBatchTransform: 2015-03-24T13:37:59.095-04:00,displaysIn:Trove,Trove
tufts:13419,Portrait of a German Officer.,ArtBatchTransform: 2015-03-24T13:37:59.095-04:00,displaysIn:Trove,Trove
tufts:13417,Moonlit Cove.,ArtBatchTransform: 2015-03-24T13:37:59.095-04:00,displaysIn:Trove,Trove
tufts:13418,The School of Athens.,ArtBatchTransform: 2015-03-24T13:37:59.095-04:00,displaysIn:Trove,Trove
tufts:13420,Abstraction.,ArtBatchTransform: 2015-03-24T13:37:59.095-04:00,displaysIn:Trove,Trove
tufts:13424,"German Pavilion\, Barcelona (Plan).",ArtBatchTransform: 2015-03-31T13:55:27.923-04:00,displaysIn:Trove,Trove
tufts:13423,"German Pavilion\, Barcelona (General View).",ArtBatchTransform: 2015-03-31T13:55:27.923-04:00,displaysIn:Trove,Trove
tufts:13421,"German Pavilion\, Barcelona.",ArtBatchTransform: 2015-03-31T13:55:27.923-04:00,displaysIn:Trove,Trove
tufts:13430,"Villa Savoye\, Poissy-Sur-Seine (Terrace View).",ArtBatchTransform: 2015-03-31T13:55:27.923-04:00,displaysIn:Trove,Trove
tufts:13431,"Brasília\, Brazil.",ArtBatchTransform: 2015-03-31T13:55:27.923-04:00,displaysIn:Trove,Trove
tufts:13437,"Sophia Gordon Hall\, Tufts University (Exterior View).",ArtBatchTransform: 2015-03-31T13:55:27.923-04:00,displaysIn:Trove,Trove
tufts:13439,"Sophia Gordon Hall\, Tufts University (Aerial View).",ArtBatchTransform: 2015-03-31T13:55:27.923-04:00,displaysIn:Trove,Trove
tufts:13427,Bauhaus Building (Aerial View).,ArtBatchTransform: 2015-03-31T13:55:27.923-04:00,displaysIn:Trove,Trove
tufts:13428,Bauhaus Building.,ArtBatchTransform: 2015-03-31T13:55:27.923-04:00,displaysIn:Trove,Trove
tufts:13445,"California Academy of Sciences\, San Francisco\, Renzo Piano Building Workshop.",ArtBatchTransform: 2015-03-31T13:55:27.923-04:00,displaysIn:Trove,Trove
tufts:13443,"Wexner Center for the Visual Arts\, Ohio State University (General View).",ArtBatchTransform: 2015-03-31T13:55:27.923-04:00,displaysIn:Trove,Trove
tufts:13433,"Museum of Roman Art\, Mérida\, Spain (Plan).",ArtBatchTransform: 2015-03-31T13:55:27.923-04:00,displaysIn:Trove,Trove
tufts:13440,"Wexner Center for the Visual Arts\, Ohio State University (Interior View).",ArtBatchTransform: 2015-03-31T13:55:27.923-04:00,displaysIn:Trove,Trove
tufts:13436,"Museum of Roman Art\, Mérida\, Spain (Interior).",ArtBatchTransform: 2015-03-31T13:55:27.923-04:00,displaysIn:Trove,Trove
tufts:13435,"Museum of Roman Art\, Mérida\, Spain (Exterior\, General View).",ArtBatchTransform: 2015-03-31T13:55:27.923-04:00,displaysIn:Trove,Trove
tufts:13425,"Seagram Building\, New York.",ArtBatchTransform: 2015-03-31T13:55:27.923-04:00,displaysIn:Trove,Trove
tufts:13422,"Graduate Center\, Harvard University (The Gropius Complex).",ArtBatchTransform: 2015-03-31T13:55:27.923-04:00,displaysIn:Trove,Trove
tufts:13426,St. Pancras.,ArtBatchTransform: 2015-03-31T13:55:27.923-04:00,displaysIn:Trove,Trove
tufts:13441,"Menara Mesiniaga\, Kuala Lumpur (General View).",ArtBatchTransform: 2015-03-31T13:55:27.923-04:00,displaysIn:Trove,Trove
tufts:13444,"Menara Mesiniaga\, Kuala Lumpur (Detail View).",ArtBatchTransform: 2015-03-31T13:55:27.923-04:00,displaysIn:Trove,Trove
tufts:13438,"Gehry House\, Santa Monica.",ArtBatchTransform: 2015-03-31T13:55:27.923-04:00,displaysIn:Trove,Trove
tufts:13442,"Mediatheque\, Sendai.",ArtBatchTransform: 2015-03-31T13:55:27.923-04:00,displaysIn:Trove,Trove
tufts:13429,Bauhaus Building.,ArtBatchTransform: 2015-03-31T13:55:27.923-04:00,displaysIn:Trove,Trove
tufts:13434,"Vanna Venturi House\, Chestnut Hill\, Pennsylvania.",ArtBatchTransform: 2015-03-31T13:55:27.923-04:00,displaysIn:Trove,Trove
tufts:13432,"Assembly Hall\, Chandīgarh\, India.",ArtBatchTransform: 2015-03-31T13:55:27.923-04:00,displaysIn:Trove,Trove
tufts:13462,"Senegalese Pavillon\, 1967 Expo Los Angeles.",ArtBatchTransform: 2015-04-03T09:34:35.113-04:00,displaysIn:Trove,Trove
tufts:13460,Meeting the Mask.,ArtBatchTransform: 2015-04-03T09:34:35.113-04:00,displaysIn:Trove,Trove
tufts:13461,Apartheid.,ArtBatchTransform: 2015-04-03T09:34:35.113-04:00,displaysIn:Trove,Trove
tufts:13458,Rhythms of Prayer.,ArtBatchTransform: 2015-04-03T09:34:35.113-04:00,displaysIn:Trove,Trove
tufts:13450,Lawyer.,ArtBatchTransform: 2015-04-03T09:34:35.113-04:00,displaysIn:Trove,Trove
tufts:13457,Untitled.,ArtBatchTransform: 2015-04-03T09:34:35.113-04:00,displaysIn:Trove,Trove
tufts:13463,The Seamstress and the Customer.,ArtBatchTransform: 2015-04-03T09:34:35.113-04:00,displaysIn:Trove,Trove
tufts:13464,Diplomats.,ArtBatchTransform: 2015-04-03T09:34:35.113-04:00,displaysIn:Trove,Trove
tufts:13453,Emete Ayuvbi.,ArtBatchTransform: 2015-04-03T09:34:35.113-04:00,displaysIn:Trove,Trove
tufts:13454,Struggle Between Life and Death.,ArtBatchTransform: 2015-04-03T09:34:35.113-04:00,displaysIn:Trove,Trove
tufts:13455,The Painter and His Model.,ArtBatchTransform: 2015-04-03T09:34:35.113-04:00,displaysIn:Trove,Trove
tufts:13452,The Politician.,ArtBatchTransform: 2015-04-03T09:34:35.113-04:00,displaysIn:Trove,Trove
tufts:13451,Anyanwu.,ArtBatchTransform: 2015-04-03T09:34:35.113-04:00,displaysIn:Trove,Trove
tufts:13449,Onalu.,ArtBatchTransform: 2015-04-03T09:34:35.113-04:00,displaysIn:Trove,Trove
tufts:13456,Mummy is Happy.,ArtBatchTransform: 2015-04-03T09:34:35.113-04:00,displaysIn:Trove,Trove
tufts:13459,Le Semeuse d'etoiles.,ArtBatchTransform: 2015-04-03T09:34:35.113-04:00,displaysIn:Trove,Trove
tufts:13447,Nude.,ArtBatchTransform: 2015-04-03T09:34:35.113-04:00,displaysIn:Trove,Trove
tufts:13446,Nude.,ArtBatchTransform: 2015-04-03T09:34:35.113-04:00,displaysIn:Trove,Trove
tufts:13465,Songs of Sorrow.,ArtBatchTransform: 2015-04-03T09:34:35.113-04:00,displaysIn:Trove,Trove
tufts:13466,Calebach Harp.,ArtBatchTransform: 2015-04-03T09:34:35.113-04:00,displaysIn:Trove,Trove
tufts:13448,Dancing Girls.,ArtBatchTransform: 2015-04-03T09:34:35.113-04:00,displaysIn:Trove,Trove
tufts:13515,"Exterior General View of the Villa Rotonda\, Vincenza.",ArtBatchTransform: 2015-04-10T08:26:22.85-04:00,displaysIn:Trove,Trove
tufts:13517,"Exterior View of the Villa Rotonda\, Vincenza.",ArtBatchTransform: 2015-04-10T08:26:22.85-04:00,displaysIn:Trove,Trove
tufts:13507,"Gardens and Fishponds\, Villa d'Este.",ArtBatchTransform: 2015-04-10T08:26:22.85-04:00,displaysIn:Trove,Trove
tufts:13510,"Elevation and Plan of the Villa Rotonda\, Vincenza.",ArtBatchTransform: 2015-04-10T08:26:22.85-04:00,displaysIn:Trove,Trove
tufts:13487,Castello Mediceo di Cafaggiolo.,ArtBatchTransform: 2015-04-10T08:26:22.85-04:00,displaysIn:Trove,Trove
tufts:13490,"Fountain of the Chain\, Villa Lante\, Bagnaia.",ArtBatchTransform: 2015-04-10T08:26:22.85-04:00,displaysIn:Trove,Trove
tufts:13518,Plan and Section of the Villa Farnese.,ArtBatchTransform: 2015-04-10T08:26:22.85-04:00,displaysIn:Trove,Trove
tufts:13520,"Decoration Study\, Villa Farnese.",ArtBatchTransform: 2015-04-10T08:26:22.85-04:00,displaysIn:Trove,Trove
tufts:13519,"Fresco of the Villa Farnese\, Villa Lante.",ArtBatchTransform: 2015-04-10T08:26:22.85-04:00,displaysIn:Trove,Trove
tufts:13522,"Frontispiece\, Four Books of Architecture of Andrea Palladio.",ArtBatchTransform: 2015-04-10T08:26:22.85-04:00,displaysIn:Trove,Trove
tufts:13509,"Plan of the Villa Rotonda\, Vincenza.",ArtBatchTransform: 2015-04-10T08:26:22.85-04:00,displaysIn:Trove,Trove
tufts:13521,"Title Page\, Book I\, the Four Books of Architecture of Andrea Palladio.",ArtBatchTransform: 2015-04-10T08:26:22.85-04:00,displaysIn:Trove,Trove
tufts:13527,"Façade of the Villa Cornaro\, Piombino Dese.",ArtBatchTransform: 2015-04-10T08:26:22.85-04:00,displaysIn:Trove,Trove
tufts:13529,"Arrival Façade of the Villa Farnese\, Caprarola.",ArtBatchTransform: 2015-04-10T08:26:22.85-04:00,displaysIn:Trove,Trove
tufts:13524,"Exterior Detail of Courtyard\, Villa Farnese\, Caprarola.",ArtBatchTransform: 2015-04-10T08:26:22.85-04:00,displaysIn:Trove,Trove
tufts:13516,"Plates XII & XIV\, Four Books of Architecture.",ArtBatchTransform: 2015-04-10T08:26:22.85-04:00,displaysIn:Trove,Trove
tufts:13526,"Plan and Elevation of the Villa Cornaro\, Four Books of Architecture of Andrea Palladio.",ArtBatchTransform: 2015-04-10T08:26:22.85-04:00,displaysIn:Trove,Trove
tufts:13525,"Miles Brewton House\, Charleston.",ArtBatchTransform: 2015-04-10T08:26:22.85-04:00,displaysIn:Trove,Trove
tufts:13528,"Elevations of the Baths of Caracalla\, Rome.",ArtBatchTransform: 2015-04-10T08:26:22.85-04:00,displaysIn:Trove,Trove
tufts:13530,"Section of the Tempietto\, Saint Pietro in Montorio\, Rome.",ArtBatchTransform: 2015-04-10T08:26:22.85-04:00,displaysIn:Trove,Trove
tufts:13503,Print of the Villa d'Este and the Rometta Fountain.,ArtBatchTransform: 2015-04-10T08:26:22.85-04:00,displaysIn:Trove,Trove
tufts:13512,"Exterior General View of the Villa Rotonda\, Vincenza.",ArtBatchTransform: 2015-04-10T08:26:22.85-04:00,displaysIn:Trove,Trove
tufts:13514,"Exterior View of Northern Façade of the Villa Rotona\, Vincenza.",ArtBatchTransform: 2015-04-10T08:26:22.85-04:00,displaysIn:Trove,Trove
tufts:13523,Frontispiece of the First Book of Architecture.,ArtBatchTransform: 2015-04-10T08:26:22.85-04:00,displaysIn:Trove,Trove
tufts:13500,Etching of the Garden and Palace near the Villa of Tivoli.,ArtBatchTransform: 2015-04-10T08:26:22.85-04:00,displaysIn:Trove,Trove
tufts:13506,"General View of Fishponds\, Fountain of Neptune\, and Fontata dell'Organo\, Villa d'Este.",ArtBatchTransform: 2015-04-10T08:26:22.85-04:00,displaysIn:Trove,Trove
tufts:13505,View of the Villa d'Este and the Gardens According to the Original Plans.,ArtBatchTransform: 2015-04-10T08:26:22.85-04:00,displaysIn:Trove,Trove
tufts:13495,"Stanza of Olympus\, Villa Barbaro\, Maser.",ArtBatchTransform: 2015-04-10T08:26:22.85-04:00,displaysIn:Trove,Trove
tufts:13498,"Grotto\, Villa d'Este\, Tivoli.",ArtBatchTransform: 2015-04-10T08:26:22.85-04:00,displaysIn:Trove,Trove
tufts:13501,"Exterior Detail of the Nymphaeum\, Villa Barbaro\, Maser.",ArtBatchTransform: 2015-04-10T08:26:22.85-04:00,displaysIn:Trove,Trove
tufts:13502,"Stair of Bubbling Fountains\, Villa d'Este\, Tivoli.",ArtBatchTransform: 2015-04-10T08:26:22.85-04:00,displaysIn:Trove,Trove
tufts:13532,"Belvedere Palace\, Vatican.",ArtBatchTransform: 2015-04-10T08:26:22.85-04:00,displaysIn:Trove,Trove
tufts:13531,"Façade of Il Gesù\, Rome.",ArtBatchTransform: 2015-04-10T08:26:22.85-04:00,displaysIn:Trove,Trove
tufts:13534,"Tribunal Love Room\, Villa Barbaro\, Maser.",ArtBatchTransform: 2015-04-10T08:26:22.85-04:00,displaysIn:Trove,Trove
tufts:13533,Title Page of the Rule of the Five Orders of Architecture.,ArtBatchTransform: 2015-04-10T08:26:22.85-04:00,displaysIn:Trove,Trove
tufts:13491,Exterior General View of the Hamptons.,ArtBatchTransform: 2015-04-10T08:26:22.85-04:00,displaysIn:Trove,Trove
tufts:13494,"Exterior View from Salone\, Villa Barbaro\, Maser.",ArtBatchTransform: 2015-04-10T08:26:22.85-04:00,displaysIn:Trove,Trove
tufts:13492,"Map of Tivoli\, Italy.",ArtBatchTransform: 2015-04-10T08:26:22.85-04:00,displaysIn:Trove,Trove
tufts:13513,"Exterior Aerial View of the Villa Rotonda\, Vincenza.",ArtBatchTransform: 2015-04-10T08:26:22.85-04:00,displaysIn:Trove,Trove
tufts:13511,"Exterior Detail of the Portico\, Villa Rotonda\, Vincenza.",ArtBatchTransform: 2015-04-10T08:26:22.85-04:00,displaysIn:Trove,Trove
tufts:13504,"Hundred Fountains\, Villa d'Este\, Tivoli.",ArtBatchTransform: 2015-04-10T08:26:22.85-04:00,displaysIn:Trove,Trove
tufts:13508,"Fountain of Neptune\, Villa d'Este\, Tivoli.",ArtBatchTransform: 2015-04-10T08:26:22.85-04:00,displaysIn:Trove,Trove
tufts:13499,"Fountain of the Dragons\, Villa d'Este\, Tivoli.",ArtBatchTransform: 2015-04-10T08:26:22.85-04:00,displaysIn:Trove,Trove
tufts:13485,"Cross-section of the Villa Medici in a Landscape\, Fiesole.",ArtBatchTransform: 2015-04-10T08:26:22.85-04:00,displaysIn:Trove,Trove
tufts:13488,"General Southeast View of the Villa Medici\, Fiesole.",ArtBatchTransform: 2015-04-10T08:26:22.85-04:00,displaysIn:Trove,Trove
tufts:13489,"Exterior Detail of the Upper Terrace\, Villa Medici\, Fiesole.",ArtBatchTransform: 2015-04-10T08:26:22.85-04:00,displaysIn:Trove,Trove
tufts:13497,"Plan and Elevation of the Villa Barbaro\, Maser.",ArtBatchTransform: 2015-04-10T08:26:22.85-04:00,displaysIn:Trove,Trove
tufts:13493,"Fontana dei Mori and Casini\, Villa Lante\, Bagnaia.",ArtBatchTransform: 2015-04-10T08:26:22.85-04:00,displaysIn:Trove,Trove
tufts:13496,"Exterior General View of the Villa Barbaro\, Maser.",ArtBatchTransform: 2015-04-10T08:26:22.85-04:00,displaysIn:Trove,Trove
tufts:13486,"Plan of the Villa Medici\, Fiesole.",ArtBatchTransform: 2015-04-10T08:26:22.85-04:00,displaysIn:Trove,Trove
tufts:13553,One in Three Chairs.,ArtBatchTransform: 2015-04-15T08:43:19.26-04:00,displaysIn:Trove,Trove
tufts:13555,No Title.,ArtBatchTransform: 2015-04-15T08:43:19.26-04:00,displaysIn:Trove,Trove
tufts:13560,Power House Mechanic.,ArtBatchTransform: 2015-04-15T08:43:19.26-04:00,displaysIn:Trove,Trove
tufts:13551,Untitled (Mirror Cube).,ArtBatchTransform: 2015-04-15T08:43:19.26-04:00,displaysIn:Trove,Trove
tufts:13540,Leap into the Void.,ArtBatchTransform: 2015-04-15T08:43:19.26-04:00,displaysIn:Trove,Trove
tufts:13561,Brussels.,ArtBatchTransform: 2015-04-15T08:43:19.26-04:00,displaysIn:Trove,Trove
tufts:13542,Meat Joy.,ArtBatchTransform: 2015-04-15T08:43:19.26-04:00,displaysIn:Trove,Trove
tufts:13559,"Untitled\, from the Tree of Life Series.",ArtBatchTransform: 2015-04-15T08:43:19.26-04:00,displaysIn:Trove,Trove
tufts:13556,Dinner Party.,ArtBatchTransform: 2015-04-15T08:43:19.26-04:00,displaysIn:Trove,Trove
tufts:13554,Self-Portrait as a Fountain.,ArtBatchTransform: 2015-04-15T08:43:19.26-04:00,displaysIn:Trove,Trove
tufts:13552,How to Explain Pictures to a Dead Hare.,ArtBatchTransform: 2015-04-15T08:43:19.26-04:00,displaysIn:Trove,Trove
tufts:13548,Oh Jeff…I love you too…But….,ArtBatchTransform: 2015-04-15T08:43:19.26-04:00,displaysIn:Trove,Trove
tufts:13549,Untited.,ArtBatchTransform: 2015-04-15T08:43:19.26-04:00,displaysIn:Trove,Trove
tufts:13536,Hurling Colors.,ArtBatchTransform: 2015-04-15T08:43:19.26-04:00,displaysIn:Trove,Trove
tufts:13535,Yard.,ArtBatchTransform: 2015-04-15T08:43:19.26-04:00,displaysIn:Trove,Trove
tufts:13539,Canyon.,ArtBatchTransform: 2015-04-15T08:43:19.26-04:00,displaysIn:Trove,Trove
tufts:13537,Sky Cathedral.,ArtBatchTransform: 2015-04-15T08:43:19.26-04:00,displaysIn:Trove,Trove
tufts:13544,"Just Say What it is that Makes Today's Homes So Different\, So Appealing?",ArtBatchTransform: 2015-04-15T08:43:19.26-04:00,displaysIn:Trove,Trove
tufts:13550,Lipstick (Ascending) on Caterpillar Tracks.,ArtBatchTransform: 2015-04-15T08:43:19.26-04:00,displaysIn:Trove,Trove
tufts:13547,"Standard Station\, Amarillo\, Texas.",ArtBatchTransform: 2015-04-15T08:43:19.26-04:00,displaysIn:Trove,Trove
tufts:13558,Personal Appearance #3.,ArtBatchTransform: 2015-04-15T08:43:19.26-04:00,displaysIn:Trove,Trove
tufts:13557,Burnt Piece.,ArtBatchTransform: 2015-04-15T08:43:19.26-04:00,displaysIn:Trove,Trove
tufts:13541,"Trolley\, New Orleans.",ArtBatchTransform: 2015-04-15T08:43:19.26-04:00,displaysIn:Trove,Trove
tufts:13543,"Diane Arbus Photographed in 1970 Holding ""Child with a Toy Hand Grenade\, Central Park\, New York"".",ArtBatchTransform: 2015-04-15T08:43:19.26-04:00,displaysIn:Trove,Trove
tufts:13546,Marilyn Diptych.,ArtBatchTransform: 2015-04-15T08:43:19.26-04:00,displaysIn:Trove,Trove
tufts:13545,Brillo Soap Pads Box.,ArtBatchTransform: 2015-04-15T08:43:19.26-04:00,displaysIn:Trove,Trove
tufts:13538,Target with Plaster Casts.,ArtBatchTransform: 2015-04-15T08:43:19.26-04:00,displaysIn:Trove,Trove
tufts:13563,Hurling Colors.,ArtBatchTransform: 2015-04-15T09:22:08.425-04:00,displaysIn:Trove,Trove
tufts:13573,Marilyn Diptych.,ArtBatchTransform: 2015-04-15T09:22:08.425-04:00,displaysIn:Trove,Trove
tufts:13575,"Standard Station\, Amarillo\, Texas.",ArtBatchTransform: 2015-04-15T09:22:08.425-04:00,displaysIn:Trove,Trove
tufts:13571,"Just Say What it is that Makes Today's Homes So Different\, So Appealing?",ArtBatchTransform: 2015-04-15T09:22:08.425-04:00,displaysIn:Trove,Trove
tufts:13562,Yard.,ArtBatchTransform: 2015-04-15T09:22:08.425-04:00,displaysIn:Trove,Trove
tufts:13570,"Diane Arbus Photographed in 1970 Holding ""Child with a Toy Hand Grenade\, Central Park\, New York"".",ArtBatchTransform: 2015-04-15T09:22:08.425-04:00,displaysIn:Trove,Trove
tufts:13572,Brillo Soap Pads Box.,ArtBatchTransform: 2015-04-15T09:22:08.425-04:00,displaysIn:Trove,Trove
tufts:13574,Untited.,ArtBatchTransform: 2015-04-15T09:22:08.425-04:00,displaysIn:Trove,Trove
tufts:13587,Brussels.,ArtBatchTransform: 2015-04-15T09:22:08.425-04:00,displaysIn:Trove,Trove
tufts:13588,"Untitled\, from the Tree of Life Series.",ArtBatchTransform: 2015-04-15T09:22:08.425-04:00,displaysIn:Trove,Trove
tufts:13582,No Title.,ArtBatchTransform: 2015-04-15T09:22:08.425-04:00,displaysIn:Trove,Trove
tufts:13585,Personal Appearance #3.,ArtBatchTransform: 2015-04-15T09:22:08.425-04:00,displaysIn:Trove,Trove
tufts:13583,Burnt Piece.,ArtBatchTransform: 2015-04-15T09:22:08.425-04:00,displaysIn:Trove,Trove
tufts:13577,Oh Jeff…I love you too…But….,ArtBatchTransform: 2015-04-15T09:22:08.425-04:00,displaysIn:Trove,Trove
tufts:13576,Untitled (Mirror Cube).,ArtBatchTransform: 2015-04-15T09:22:08.425-04:00,displaysIn:Trove,Trove
tufts:13566,Canyon.,ArtBatchTransform: 2015-04-15T09:22:08.425-04:00,displaysIn:Trove,Trove
tufts:13564,Sky Cathedral.,ArtBatchTransform: 2015-04-15T09:22:08.425-04:00,displaysIn:Trove,Trove
tufts:13565,Target with Plaster Casts.,ArtBatchTransform: 2015-04-15T09:22:08.425-04:00,displaysIn:Trove,Trove
tufts:13579,Lipstick (Ascending) on Caterpillar Tracks.,ArtBatchTransform: 2015-04-15T09:22:08.425-04:00,displaysIn:Trove,Trove
tufts:13578,How to Explain Pictures to a Dead Hare.,ArtBatchTransform: 2015-04-15T09:22:08.425-04:00,displaysIn:Trove,Trove
tufts:13580,One in Three Chairs.,ArtBatchTransform: 2015-04-15T09:22:08.425-04:00,displaysIn:Trove,Trove
tufts:13586,Power House Mechanic.,ArtBatchTransform: 2015-04-15T09:22:08.425-04:00,displaysIn:Trove,Trove
tufts:13584,Dinner Party.,ArtBatchTransform: 2015-04-15T09:22:08.425-04:00,displaysIn:Trove,Trove
tufts:13581,Self-Portrait as a Fountain.,ArtBatchTransform: 2015-04-15T09:22:08.425-04:00,displaysIn:Trove,Trove
tufts:13568,Meat Joy.,ArtBatchTransform: 2015-04-15T09:22:08.425-04:00,displaysIn:Trove,Trove
tufts:13569,"Trolley\, New Orleans.",ArtBatchTransform: 2015-04-15T09:22:08.425-04:00,displaysIn:Trove,Trove
tufts:13567,Leap into the Void.,ArtBatchTransform: 2015-04-15T09:22:08.425-04:00,displaysIn:Trove,Trove
tufts:13615,Power House Mechanic.,ArtBatchTransform: 2015-04-15T11:57:33.706-04:00,displaysIn:Trove,Trove
tufts:13612,Dinner Party.,ArtBatchTransform: 2015-04-15T11:57:33.706-04:00,displaysIn:Trove,Trove
tufts:13614,Brussels.,ArtBatchTransform: 2015-04-15T11:57:33.706-04:00,displaysIn:Trove,Trove
tufts:13602,Meat Joy.,ArtBatchTransform: 2015-04-15T11:57:33.706-04:00,displaysIn:Trove,Trove
tufts:13599,"Trolley\, New Orleans.",ArtBatchTransform: 2015-04-15T11:57:33.706-04:00,displaysIn:Trove,Trove
tufts:13597,"Diane Arbus Photographed in 1970 Holding ""Child with a Toy Hand Grenade\, Central Park\, New York.""",ArtBatchTransform: 2015-04-15T11:57:33.706-04:00,displaysIn:Trove,Trove
tufts:13595,Leap into the Void.,ArtBatchTransform: 2015-04-15T11:57:33.706-04:00,displaysIn:Trove,Trove
tufts:13598,Marilyn Diptych.,ArtBatchTransform: 2015-04-15T11:57:33.706-04:00,displaysIn:Trove,Trove
